task,sample_id,recipe,prompt_strength,gold,prediction,correct,format_target_margin,content_target_margin,format_full_entropy,content_full_entropy,format_dla_curve,content_dla_curve,format_attention_curve,content_attention_curve,prompt_tokens,completion_tokens,format_compliance
gsm8k,0,baseline_plain,0.0,18,18,True,-2.59375,-2.59375,3.3467347621917725,3.3467347621917725,"[4.37241792678833, -1.6079682111740112, 1.5707144737243652, 2.459707498550415, 4.594906806945801, 2.0847904682159424, 0.35110366344451904, -0.7970951795578003, 2.248002529144287, 6.593408584594727, 8.03714370727539, 4.174257755279541, 7.626101493835449, 13.375367164611816, 9.983248710632324, 9.880281448364258, 13.957635879516602, 8.879846572875977, 13.260658264160156, 13.17292594909668, 12.740559577941895, 12.079943656921387, 15.037364959716797, 16.32882308959961, 15.776824951171875, 15.080954551696777, 14.732460021972656, 13.374055862426758, 12.064199447631836, 13.774679183959961, 15.483160972595215, 20.356327056884766, 50.41139221191406]","[4.37241792678833, -1.6079682111740112, 1.5707144737243652, 2.459707498550415, 4.594906806945801, 2.0847904682159424, 0.35110366344451904, -0.7970951795578003, 2.248002529144287, 6.593408584594727, 8.03714370727539, 4.174257755279541, 7.626101493835449, 13.375367164611816, 9.983248710632324, 9.880281448364258, 13.957635879516602, 8.879846572875977, 13.260658264160156, 13.17292594909668, 12.740559577941895, 12.079943656921387, 15.037364959716797, 16.32882308959961, 15.776824951171875, 15.080954551696777, 14.732460021972656, 13.374055862426758, 12.064199447631836, 13.774679183959961, 15.483160972595215, 20.356327056884766, 50.41139221191406]","[0.049530029296875, 0.050323486328125, 0.08587646484375, 0.257080078125, 0.273681640625, 0.4541015625, 0.55419921875, 0.6669921875, 0.779296875, 0.74560546875, 0.7509765625, 0.68115234375, 0.68994140625, 0.7080078125, 0.67578125, 0.59423828125, 0.634765625, 0.5986328125, 0.51123046875, 0.57861328125, 0.73974609375, 0.65966796875, 0.68798828125, 0.73095703125, 0.65283203125, 0.6708984375, 0.68505859375, 0.736328125, 0.578125, 0.51904296875, 0.5771484375, 0.486328125]","[0.049530029296875, 0.050323486328125, 0.08587646484375, 0.257080078125, 0.273681640625, 0.4541015625, 0.55419921875, 0.6669921875, 0.779296875, 0.74560546875, 0.7509765625, 0.68115234375, 0.68994140625, 0.7080078125, 0.67578125, 0.59423828125, 0.634765625, 0.5986328125, 0.51123046875, 0.57861328125, 0.73974609375, 0.65966796875, 0.68798828125, 0.73095703125, 0.65283203125, 0.6708984375, 0.68505859375, 0.736328125, 0.578125, 0.51904296875, 0.5771484375, 0.486328125]",93,128,False
gsm8k,0,hash_plain,0.15,18,5,False,2.8125,2.8125,0.9187994003295898,0.9187994003295898,"[4.37241792678833, -1.5683786869049072, 1.734320878982544, 2.677722454071045, 4.774195194244385, 2.2398624420166016, 0.83780837059021, -1.4583015441894531, 3.7647523880004883, 7.7700958251953125, 8.906587600708008, 4.580577850341797, 8.386348724365234, 12.308075904846191, 10.020483016967773, 11.022062301635742, 15.17320442199707, 11.640691757202148, 16.69652557373047, 16.11194610595703, 18.52019500732422, 20.377504348754883, 22.415607452392578, 24.23120880126953, 23.04639434814453, 23.643850326538086, 24.3492431640625, 23.087913513183594, 21.444381713867188, 24.10122299194336, 24.11520767211914, 27.959877014160156, 55.24079895019531]","[4.37241792678833, -1.5683786869049072, 1.734320878982544, 2.677722454071045, 4.774195194244385, 2.2398624420166016, 0.83780837059021, -1.4583015441894531, 3.7647523880004883, 7.7700958251953125, 8.906587600708008, 4.580577850341797, 8.386348724365234, 12.308075904846191, 10.020483016967773, 11.022062301635742, 15.17320442199707, 11.640691757202148, 16.69652557373047, 16.11194610595703, 18.52019500732422, 20.377504348754883, 22.415607452392578, 24.23120880126953, 23.04639434814453, 23.643850326538086, 24.3492431640625, 23.087913513183594, 21.444381713867188, 24.10122299194336, 24.11520767211914, 27.959877014160156, 55.24079895019531]","[0.051422119140625, 0.06817626953125, 0.1044921875, 0.26171875, 0.275146484375, 0.46337890625, 0.583984375, 0.681640625, 0.7880859375, 0.76025390625, 0.8095703125, 0.71923828125, 0.7421875, 0.80908203125, 0.595703125, 0.59326171875, 0.58251953125, 0.62841796875, 0.6201171875, 0.59521484375, 0.7275390625, 0.65478515625, 0.70703125, 0.71923828125, 0.73486328125, 0.68212890625, 0.693359375, 0.80419921875, 0.599609375, 0.58837890625, 0.53369140625, 0.419921875]","[0.051422119140625, 0.06817626953125, 0.1044921875, 0.26171875, 0.275146484375, 0.46337890625, 0.583984375, 0.681640625, 0.7880859375, 0.76025390625, 0.8095703125, 0.71923828125, 0.7421875, 0.80908203125, 0.595703125, 0.59326171875, 0.58251953125, 0.62841796875, 0.6201171875, 0.59521484375, 0.7275390625, 0.65478515625, 0.70703125, 0.71923828125, 0.73486328125, 0.68212890625, 0.693359375, 0.80419921875, 0.599609375, 0.58837890625, 0.53369140625, 0.419921875]",94,128,True
gsm8k,0,hash_roomy,0.25,18,2,False,2.3125,2.3125,1.7493383884429932,1.7493383884429932,"[4.37241792678833, -1.5108318328857422, 0.8277309536933899, 2.7516937255859375, 5.227512359619141, 2.645582437515259, 1.6183490753173828, -0.9135128855705261, 4.564155101776123, 8.148759841918945, 8.519427299499512, 4.841825485229492, 8.834786415100098, 12.646383285522461, 9.614810943603516, 10.503137588500977, 15.363961219787598, 11.32945442199707, 15.9050931930542, 15.530479431152344, 17.204618453979492, 18.660457611083984, 21.427181243896484, 23.373044967651367, 22.346349716186523, 22.465229034423828, 23.217906951904297, 21.947364807128906, 20.51586151123047, 23.041934967041016, 23.766380310058594, 27.582000732421875, 54.4224853515625]","[4.37241792678833, -1.5108318328857422, 0.8277309536933899, 2.7516937255859375, 5.227512359619141, 2.645582437515259, 1.6183490753173828, -0.9135128855705261, 4.564155101776123, 8.148759841918945, 8.519427299499512, 4.841825485229492, 8.834786415100098, 12.646383285522461, 9.614810943603516, 10.503137588500977, 15.363961219787598, 11.32945442199707, 15.9050931930542, 15.530479431152344, 17.204618453979492, 18.660457611083984, 21.427181243896484, 23.373044967651367, 22.346349716186523, 22.465229034423828, 23.217906951904297, 21.947364807128906, 20.51586151123047, 23.041934967041016, 23.766380310058594, 27.582000732421875, 54.4224853515625]","[0.052520751953125, 0.0677490234375, 0.09674072265625, 0.260009765625, 0.2763671875, 0.456298828125, 0.57470703125, 0.68212890625, 0.77001953125, 0.7509765625, 0.79931640625, 0.72216796875, 0.7470703125, 0.79443359375, 0.60693359375, 0.59130859375, 0.57861328125, 0.60791015625, 0.580078125, 0.58935546875, 0.71630859375, 0.62353515625, 0.685546875, 0.70166015625, 0.6904296875, 0.66064453125, 0.671875, 0.7685546875, 0.58642578125, 0.53857421875, 0.52001953125, 0.4169921875]","[0.052520751953125, 0.0677490234375, 0.09674072265625, 0.260009765625, 0.2763671875, 0.456298828125, 0.57470703125, 0.68212890625, 0.77001953125, 0.7509765625, 0.79931640625, 0.72216796875, 0.7470703125, 0.79443359375, 0.60693359375, 0.59130859375, 0.57861328125, 0.60791015625, 0.580078125, 0.58935546875, 0.71630859375, 0.62353515625, 0.685546875, 0.70166015625, 0.6904296875, 0.66064453125, 0.671875, 0.7685546875, 0.58642578125, 0.53857421875, 0.52001953125, 0.4169921875]",96,128,True
gsm8k,0,hash_think,0.45,18,26,False,-0.1875,-0.1875,2.6414377689361572,2.6414377689361572,"[4.37241792678833, -1.9148550033569336, 0.41259920597076416, 3.152522087097168, 5.798432350158691, 3.752763271331787, 2.4747536182403564, 0.23073694109916687, 5.484560012817383, 7.695281982421875, 8.766743659973145, 6.696957111358643, 11.180157661437988, 12.197176933288574, 8.498688697814941, 9.807195663452148, 14.796360969543457, 10.79202651977539, 15.511967658996582, 16.02215576171875, 16.621471405029297, 16.585493087768555, 20.070770263671875, 21.2554988861084, 20.401634216308594, 19.889854431152344, 20.251800537109375, 19.001497268676758, 17.834163665771484, 20.10368537902832, 22.406646728515625, 26.34084701538086, 53.44690704345703]","[4.37241792678833, -1.9148550033569336, 0.41259920597076416, 3.152522087097168, 5.798432350158691, 3.752763271331787, 2.4747536182403564, 0.23073694109916687, 5.484560012817383, 7.695281982421875, 8.766743659973145, 6.696957111358643, 11.180157661437988, 12.197176933288574, 8.498688697814941, 9.807195663452148, 14.796360969543457, 10.79202651977539, 15.511967658996582, 16.02215576171875, 16.621471405029297, 16.585493087768555, 20.070770263671875, 21.2554988861084, 20.401634216308594, 19.889854431152344, 20.251800537109375, 19.001497268676758, 17.834163665771484, 20.10368537902832, 22.406646728515625, 26.34084701538086, 53.44690704345703]","[0.049591064453125, 0.06597900390625, 0.08905029296875, 0.260986328125, 0.27490234375, 0.445556640625, 0.56494140625, 0.646484375, 0.703125, 0.71142578125, 0.81298828125, 0.7294921875, 0.78564453125, 0.7578125, 0.60107421875, 0.60693359375, 0.5224609375, 0.5458984375, 0.498291015625, 0.5380859375, 0.7001953125, 0.548828125, 0.6435546875, 0.70703125, 0.6103515625, 0.6640625, 0.61474609375, 0.701171875, 0.51513671875, 0.5107421875, 0.54150390625, 0.4658203125]","[0.049591064453125, 0.06597900390625, 0.08905029296875, 0.260986328125, 0.27490234375, 0.445556640625, 0.56494140625, 0.646484375, 0.703125, 0.71142578125, 0.81298828125, 0.7294921875, 0.78564453125, 0.7578125, 0.60107421875, 0.60693359375, 0.5224609375, 0.5458984375, 0.498291015625, 0.5380859375, 0.7001953125, 0.548828125, 0.6435546875, 0.70703125, 0.6103515625, 0.6640625, 0.61474609375, 0.701171875, 0.51513671875, 0.5107421875, 0.54150390625, 0.4658203125]",105,128,False
gsm8k,0,hash_xml_think,0.7,18,7,False,-10.75,-5.65625,0.07687661051750183,0.07687661051750183,"[2.6263463497161865, 4.695158004760742, 5.49251651763916, 2.2227039337158203, 3.007783889770508, 3.7145981788635254, 3.4964821338653564, 4.603046894073486, 4.2288970947265625, 4.338285446166992, 6.49798059463501, 4.935077667236328, 6.0098114013671875, 9.139036178588867, 9.146970748901367, 8.338207244873047, 11.500370025634766, 6.3884992599487305, 11.49618148803711, 12.2652587890625, 16.864479064941406, 15.332435607910156, 14.89480209350586, 9.400411605834961, 12.962432861328125, 14.748279571533203, 17.836040496826172, 17.616668701171875, 14.376461029052734, 13.509907722473145, 15.197530746459961, 18.210308074951172, 46.44054412841797]","[2.4743459224700928, 1.137880802154541, 1.947385311126709, 3.4133687019348145, 2.397501230239868, 2.0343680381774902, -0.27164721488952637, 0.9807230830192566, 3.1220462322235107, 3.0527713298797607, 2.5888311862945557, 2.9435224533081055, 2.3101043701171875, 4.86688232421875, 5.271895408630371, 5.3045430183410645, 5.756539821624756, 4.1676249504089355, 9.410945892333984, 12.248275756835938, 13.262595176696777, 14.063528060913086, 16.208858489990234, 18.40959930419922, 17.008628845214844, 18.457916259765625, 18.53809356689453, 19.82912826538086, 19.17880630493164, 19.207984924316406, 20.38042640686035, 22.527099609375, 50.72788619995117]","[0.045684814453125, 0.05267333984375, 0.041259765625, 0.2425537109375, 0.24560546875, 0.38916015625, 0.47705078125, 0.51318359375, 0.6962890625, 0.56689453125, 0.6796875, 0.5107421875, 0.479248046875, 0.62744140625, 0.48681640625, 0.396728515625, 0.455810546875, 0.496826171875, 0.59716796875, 0.505859375, 0.69921875, 0.7353515625, 0.63330078125, 0.66357421875, 0.72216796875, 0.638671875, 0.6943359375, 0.705078125, 0.544921875, 0.463623046875, 0.45751953125, 0.3544921875]","[0.045684814453125, 0.05267333984375, 0.041259765625, 0.2425537109375, 0.24560546875, 0.38916015625, 0.47705078125, 0.51318359375, 0.6962890625, 0.56689453125, 0.6796875, 0.5107421875, 0.479248046875, 0.62744140625, 0.48681640625, 0.396728515625, 0.455810546875, 0.496826171875, 0.59716796875, 0.505859375, 0.69921875, 0.7353515625, 0.63330078125, 0.66357421875, 0.72216796875, 0.638671875, 0.6943359375, 0.705078125, 0.544921875, 0.463623046875, 0.45751953125, 0.3544921875]",121,129,False
gsm8k,0,hash_selfcheck,0.85,18,4,False,-9.75,-4.25,0.4581368565559387,0.4581368565559387,"[2.6263463497161865, 4.537683486938477, 5.295140266418457, 2.1488568782806396, 2.9031519889831543, 4.557272434234619, 3.4054489135742188, 4.70412540435791, 4.762500762939453, 5.581173419952393, 8.080215454101562, 4.475770473480225, 5.845050811767578, 9.472065925598145, 9.209139823913574, 9.37459945678711, 12.297403335571289, 7.397409915924072, 11.847755432128906, 11.869879722595215, 14.732193946838379, 13.467643737792969, 14.105714797973633, 7.506532669067383, 10.196069717407227, 11.871817588806152, 16.0467586517334, 15.966526985168457, 13.668848037719727, 11.792119979858398, 14.580923080444336, 17.00692367553711, 44.8126220703125]","[2.4743459224700928, 1.1656394004821777, 2.172089099884033, 3.2380499839782715, 1.7187403440475464, 0.8589233160018921, -2.711005687713623, 0.44511520862579346, 2.8861851692199707, 5.05612850189209, 4.103793621063232, 3.0414767265319824, 2.3309755325317383, 4.942326545715332, 6.388094902038574, 6.924253463745117, 6.7887420654296875, 5.917699337005615, 9.787273406982422, 11.491682052612305, 12.226354598999023, 14.030317306518555, 15.71211051940918, 17.663185119628906, 17.66632652282715, 19.2778377532959, 19.41013526916504, 20.448152542114258, 20.10321044921875, 17.265981674194336, 19.18522834777832, 22.872711181640625, 49.39582824707031]","[0.037078857421875, 0.04437255859375, 0.036712646484375, 0.242919921875, 0.25244140625, 0.38671875, 0.488525390625, 0.490478515625, 0.67919921875, 0.5986328125, 0.6787109375, 0.60107421875, 0.5205078125, 0.64453125, 0.53955078125, 0.471435546875, 0.489990234375, 0.51025390625, 0.5810546875, 0.52587890625, 0.7265625, 0.7001953125, 0.60693359375, 0.66455078125, 0.6923828125, 0.58984375, 0.62109375, 0.5751953125, 0.5263671875, 0.3828125, 0.46044921875, 0.42333984375]","[0.037078857421875, 0.04437255859375, 0.036712646484375, 0.242919921875, 0.25244140625, 0.38671875, 0.488525390625, 0.490478515625, 0.67919921875, 0.5986328125, 0.6787109375, 0.60107421875, 0.5205078125, 0.64453125, 0.53955078125, 0.471435546875, 0.489990234375, 0.51025390625, 0.5810546875, 0.52587890625, 0.7265625, 0.7001953125, 0.60693359375, 0.66455078125, 0.6923828125, 0.58984375, 0.62109375, 0.5751953125, 0.5263671875, 0.3828125, 0.46044921875, 0.42333984375]",131,129,False
gsm8k,0,answer_first,0.35,18,18,True,-4.9375,-4.9375,0.2728956639766693,0.2728956639766693,"[3.335420846939087, -2.099740505218506, -3.382892370223999, -0.7960517406463623, 0.0159761905670166, 0.40033626556396484, 0.5808281898498535, 0.7947258949279785, 2.3021724224090576, 1.1794462203979492, 2.5109798908233643, 1.304197072982788, 1.3835207223892212, 6.461494445800781, 6.364940166473389, 7.311121940612793, 8.416519165039062, 4.736794948577881, 10.764791488647461, 14.472162246704102, 16.142301559448242, 16.066591262817383, 16.279632568359375, 18.623897552490234, 15.645051956176758, 15.126632690429688, 16.63561248779297, 16.115266799926758, 13.67422866821289, 14.603208541870117, 16.499265670776367, 21.554838180541992, 52.35850524902344]","[3.335420846939087, -2.099740505218506, -3.382892370223999, -0.7960517406463623, 0.0159761905670166, 0.40033626556396484, 0.5808281898498535, 0.7947258949279785, 2.3021724224090576, 1.1794462203979492, 2.5109798908233643, 1.304197072982788, 1.3835207223892212, 6.461494445800781, 6.364940166473389, 7.311121940612793, 8.416519165039062, 4.736794948577881, 10.764791488647461, 14.472162246704102, 16.142301559448242, 16.066591262817383, 16.279632568359375, 18.623897552490234, 15.645051956176758, 15.126632690429688, 16.63561248779297, 16.115266799926758, 13.67422866821289, 14.603208541870117, 16.499265670776367, 21.554838180541992, 52.35850524902344]","[0.057342529296875, 0.0948486328125, 0.10308837890625, 0.25244140625, 0.258544921875, 0.412353515625, 0.4921875, 0.578125, 0.74560546875, 0.7001953125, 0.748046875, 0.69677734375, 0.625, 0.76220703125, 0.67041015625, 0.63330078125, 0.6123046875, 0.6474609375, 0.66748046875, 0.63623046875, 0.7568359375, 0.7138671875, 0.7314453125, 0.64794921875, 0.7099609375, 0.625, 0.6435546875, 0.64599609375, 0.5439453125, 0.43701171875, 0.47216796875, 0.416259765625]","[0.057342529296875, 0.0948486328125, 0.10308837890625, 0.25244140625, 0.258544921875, 0.412353515625, 0.4921875, 0.578125, 0.74560546875, 0.7001953125, 0.748046875, 0.69677734375, 0.625, 0.76220703125, 0.67041015625, 0.63330078125, 0.6123046875, 0.6474609375, 0.66748046875, 0.63623046875, 0.7568359375, 0.7138671875, 0.7314453125, 0.64794921875, 0.7099609375, 0.625, 0.6435546875, 0.64599609375, 0.5439453125, 0.43701171875, 0.47216796875, 0.416259765625]",93,129,True
gsm8k,0,answer_first_xml,0.8,18,18,True,-9.4375,-7.6875,0.009880289435386658,0.009880289435386658,"[2.6263463497161865, 4.790614128112793, 5.387082099914551, 2.791830062866211, 3.5840702056884766, 4.1725640296936035, -0.15704482793807983, 0.5989583134651184, 5.309046268463135, 3.064363956451416, 1.9349009990692139, -0.14031386375427246, 3.2178056240081787, 6.674570083618164, 7.522481918334961, 5.975489139556885, 9.613594055175781, 6.639871597290039, 8.645715713500977, 10.420784950256348, 15.475618362426758, 15.373062133789062, 16.730228424072266, 15.425308227539062, 20.995193481445312, 22.42963409423828, 24.05451202392578, 27.138378143310547, 20.851646423339844, 18.844879150390625, 21.599830627441406, 21.9537296295166, 51.26279067993164]","[2.4743459224700928, 0.8669182062149048, 1.133044719696045, 3.180152654647827, 2.491421699523926, 0.597840428352356, -3.4846200942993164, -1.246799111366272, 3.417656898498535, 2.9189932346343994, -0.42776989936828613, 1.2031461000442505, 3.6073663234710693, 7.333198070526123, 8.861583709716797, 7.799062252044678, 7.989914894104004, 5.920693874359131, 7.841388702392578, 9.700281143188477, 9.551715850830078, 10.519187927246094, 10.835972785949707, 11.861570358276367, 12.198689460754395, 14.229406356811523, 16.28489875793457, 15.827322006225586, 13.712960243225098, 13.033988952636719, 15.154248237609863, 19.125240325927734, 51.87791442871094]","[0.053314208984375, 0.035308837890625, 0.0246429443359375, 0.2386474609375, 0.250244140625, 0.37939453125, 0.482666015625, 0.5185546875, 0.65234375, 0.5869140625, 0.65966796875, 0.5927734375, 0.61376953125, 0.73388671875, 0.46337890625, 0.5107421875, 0.5029296875, 0.455322265625, 0.58056640625, 0.58154296875, 0.69921875, 0.6787109375, 0.60205078125, 0.65478515625, 0.716796875, 0.60888671875, 0.6142578125, 0.60400390625, 0.529296875, 0.42724609375, 0.20068359375, 0.1241455078125]","[0.053314208984375, 0.035308837890625, 0.0246429443359375, 0.2386474609375, 0.250244140625, 0.37939453125, 0.482666015625, 0.5185546875, 0.65234375, 0.5869140625, 0.65966796875, 0.5927734375, 0.61376953125, 0.73388671875, 0.46337890625, 0.5107421875, 0.5029296875, 0.455322265625, 0.58056640625, 0.58154296875, 0.69921875, 0.6787109375, 0.60205078125, 0.65478515625, 0.716796875, 0.60888671875, 0.6142578125, 0.60400390625, 0.529296875, 0.42724609375, 0.20068359375, 0.1241455078125]",121,129,False
gsm8k,0,verbose_xml,1.0,18,18,True,-9.1875,-4.3125,0.18936565518379211,0.18936565518379211,"[2.6263463497161865, 4.80113410949707, 5.712289810180664, 2.37961483001709, 3.0811429023742676, 3.723525285720825, 3.375587224960327, 4.235245227813721, 3.880314350128174, 4.294759750366211, 6.848007678985596, 5.3344807624816895, 5.970075607299805, 8.966552734375, 10.228826522827148, 9.672203063964844, 12.400248527526855, 7.503231048583984, 12.391366958618164, 13.140033721923828, 18.3134822845459, 16.603958129882812, 15.482403755187988, 9.90694808959961, 13.91196060180664, 16.212562561035156, 19.80729103088379, 19.300739288330078, 15.471904754638672, 14.520319938659668, 16.06237030029297, 18.96377944946289, 47.64496994018555]","[2.4743459224700928, 1.2095476388931274, 2.1239612102508545, 3.2953391075134277, 2.425093173980713, 1.9947538375854492, -0.5671799182891846, 0.8715713024139404, 3.2725167274475098, 4.030106544494629, 3.0617027282714844, 3.072360038757324, 1.7141351699829102, 4.625786781311035, 6.473235607147217, 6.321218967437744, 6.648909568786621, 5.763453006744385, 11.033548355102539, 14.205793380737305, 15.643697738647461, 16.023921966552734, 17.211563110351562, 19.218305587768555, 17.56574249267578, 18.963682174682617, 18.84670639038086, 20.17987823486328, 19.696346282958984, 21.7572078704834, 21.710304260253906, 23.807754516601562, 51.74463653564453]","[0.04827880859375, 0.046051025390625, 0.036529541015625, 0.25146484375, 0.255859375, 0.39453125, 0.49365234375, 0.51904296875, 0.70068359375, 0.56689453125, 0.69482421875, 0.5068359375, 0.5009765625, 0.6552734375, 0.50830078125, 0.367431640625, 0.4677734375, 0.50927734375, 0.58349609375, 0.51611328125, 0.681640625, 0.68701171875, 0.62939453125, 0.64892578125, 0.71044921875, 0.619140625, 0.67578125, 0.66015625, 0.5126953125, 0.43359375, 0.2293701171875, 0.1868896484375]","[0.04827880859375, 0.046051025390625, 0.036529541015625, 0.25146484375, 0.255859375, 0.39453125, 0.49365234375, 0.51904296875, 0.70068359375, 0.56689453125, 0.69482421875, 0.5068359375, 0.5009765625, 0.6552734375, 0.50830078125, 0.367431640625, 0.4677734375, 0.50927734375, 0.58349609375, 0.51611328125, 0.681640625, 0.68701171875, 0.62939453125, 0.64892578125, 0.71044921875, 0.619140625, 0.67578125, 0.66015625, 0.5126953125, 0.43359375, 0.2293701171875, 0.1868896484375]",122,129,False
gsm8k,1,baseline_plain,0.0,3,3,True,-4.8125,-4.8125,2.8128013610839844,2.8128013610839844,"[4.37241792678833, -1.667580246925354, 1.2938740253448486, 2.304893732070923, 5.246367931365967, 2.305504560470581, 0.5816375017166138, 0.7492930889129639, 2.7874057292938232, 7.1332926750183105, 8.371481895446777, 6.016430377960205, 7.8504958152771, 13.926009178161621, 11.513720512390137, 12.540298461914062, 14.581066131591797, 11.120969772338867, 15.897527694702148, 12.438852310180664, 13.044830322265625, 13.144338607788086, 15.411842346191406, 16.679779052734375, 17.441452026367188, 17.060457229614258, 17.432308197021484, 16.61226463317871, 15.142877578735352, 15.313217163085938, 15.954004287719727, 21.26389503479004, 49.87283706665039]","[4.37241792678833, -1.667580246925354, 1.2938740253448486, 2.304893732070923, 5.246367931365967, 2.305504560470581, 0.5816375017166138, 0.7492930889129639, 2.7874057292938232, 7.1332926750183105, 8.371481895446777, 6.016430377960205, 7.8504958152771, 13.926009178161621, 11.513720512390137, 12.540298461914062, 14.581066131591797, 11.120969772338867, 15.897527694702148, 12.438852310180664, 13.044830322265625, 13.144338607788086, 15.411842346191406, 16.679779052734375, 17.441452026367188, 17.060457229614258, 17.432308197021484, 16.61226463317871, 15.142877578735352, 15.313217163085938, 15.954004287719727, 21.26389503479004, 49.87283706665039]","[0.10394287109375, 0.088134765625, 0.1455078125, 0.82666015625, 0.8798828125, 0.8955078125, 0.82861328125, 0.85302734375, 0.78369140625, 0.74755859375, 0.7578125, 0.74560546875, 0.72607421875, 0.7001953125, 0.681640625, 0.56982421875, 0.6328125, 0.60498046875, 0.515625, 0.65869140625, 0.72802734375, 0.71337890625, 0.7314453125, 0.74267578125, 0.68115234375, 0.6962890625, 0.72998046875, 0.75830078125, 0.61572265625, 0.51416015625, 0.5107421875, 0.428466796875]","[0.10394287109375, 0.088134765625, 0.1455078125, 0.82666015625, 0.8798828125, 0.8955078125, 0.82861328125, 0.85302734375, 0.78369140625, 0.74755859375, 0.7578125, 0.74560546875, 0.72607421875, 0.7001953125, 0.681640625, 0.56982421875, 0.6328125, 0.60498046875, 0.515625, 0.65869140625, 0.72802734375, 0.71337890625, 0.7314453125, 0.74267578125, 0.68115234375, 0.6962890625, 0.72998046875, 0.75830078125, 0.61572265625, 0.51416015625, 0.5107421875, 0.428466796875]",51,128,False
