question,ground_truth,prediction,correct,avg_length,format_rate
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",B,A,False,96.0,0.0
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",C,A,False,121.0,0.0
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,D,A,False,111.0,0.0
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",B,A,False,148.0,0.0
"Find the product of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",B,A,False,115.0,0.0
"Statement 1 | If a group has an element of order 15 it must have at least 8 elements of order 15. Statement 2 | If a group has more than 8 elements of order 15, it must have at least 16 elements of order 15.",A,A,True,146.0,0.0
Statement 1 | Every homomorphic image of a group G is isomorphic to a factor group of G. Statement 2 | The homomorphic images of a group G are the same (up to isomorphism) as the factor groups of G.,A,A,True,147.0,0.0
Statement 1 | A ring homomorphism is one to one if and only if the kernel is {0}. Statement 2 | Q is an ideal in R.,D,A,False,135.0,0.0
Find the degree for the given field extension Q(sqrt(2) + sqrt(3)) over Q.,B,A,False,84.0,0.0
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^3 + 2x + 2 in Z_7,C,A,False,107.0,0.0
"Statement 1 | If H is a subgroup of G and a belongs to G then |aH| = |Ha|. Statement 2 | If H is a subgroup of G and a and b belong to G, then aH and Hb are identical or disjoint.",C,A,False,129.0,0.0
"If A = {1, 2, 3} then relation S = {(1, 1), (2, 2)} is",C,A,False,121.0,0.0
"Find the order of the factor group (Z_11 x Z_15)/(<1, 1>)",A,A,True,98.0,0.0
The polynomial x^3 + 2x^2 + 2x + 1 can be factored into linear factors in Z_7[x]. Find this factorization.,C,A,False,126.0,0.0
Find the maximum possible order for an element of S_n for n = 10.,C,A,False,121.0,0.0
Statement 1 | R is a splitting field of some polynomial over Q. Statement 2 | There is a field with 60 elements.,B,A,False,123.0,0.0
"The inverse of -i in the multiplicative group, {1, -1, i , -i} is",C,A,False,103.0,0.0
"Compute the product in the given ring. (2,3)(3,5) in Z_5 x Z_9",C,A,False,95.0,0.0
