sample_id,task,source_index,clean_n_tokens,corrupt_n_tokens,clean_first_tokens,corrupt_first_tokens,clean_first_ids,corrupt_first_ids
0,mmlu,83,138,137,"[""▁##"", ""▁Question"", "":"", ""▁Stat"", ""ement"", ""▁"", ""1"", ""▁|"", ""▁If"", ""▁a"", ""▁group"", ""▁has"", ""▁an"", ""▁element"", ""▁of"", ""▁order""]","[""▁Question"", "":"", ""▁Stat"", ""ement"", ""▁"", ""1"", ""▁|"", ""▁If"", ""▁a"", ""▁group"", ""▁has"", ""▁an"", ""▁element"", ""▁of"", ""▁order"", ""▁""]","[444, 894, 29901, 6666, 882, 29871, 29896, 891, 960, 263, 2318, 756, 385, 1543, 310, 1797]","[894, 29901, 6666, 882, 29871, 29896, 891, 960, 263, 2318, 756, 385, 1543, 310, 1797, 29871]"
1,mmlu,53,137,136,"[""▁##"", ""▁Question"", "":"", ""▁Stat"", ""ement"", ""▁"", ""1"", ""▁|"", ""▁If"", ""▁G"", "","", ""▁H"", ""▁and"", ""▁K"", ""▁are"", ""▁groups""]","[""▁Question"", "":"", ""▁Stat"", ""ement"", ""▁"", ""1"", ""▁|"", ""▁If"", ""▁G"", "","", ""▁H"", ""▁and"", ""▁K"", ""▁are"", ""▁groups"", ""▁of""]","[444, 894, 29901, 6666, 882, 29871, 29896, 891, 960, 402, 29892, 379, 322, 476, 526, 6471]","[894, 29901, 6666, 882, 29871, 29896, 891, 960, 402, 29892, 379, 322, 476, 526, 6471, 310]"
2,mmlu,70,104,103,"[""▁##"", ""▁Question"", "":"", ""▁("", ""Z"", "","", ""*)"", ""▁is"", ""▁a"", ""▁group"", ""▁with"", ""▁a"", ""*"", ""b"", ""▁="", ""▁a""]","[""▁Question"", "":"", ""▁("", ""Z"", "","", ""*)"", ""▁is"", ""▁a"", ""▁group"", ""▁with"", ""▁a"", ""*"", ""b"", ""▁="", ""▁a"", ""+""]","[444, 894, 29901, 313, 29999, 29892, 7528, 338, 263, 2318, 411, 263, 29930, 29890, 353, 263]","[894, 29901, 313, 29999, 29892, 7528, 338, 263, 2318, 411, 263, 29930, 29890, 353, 263, 29974]"
3,mmlu,45,112,111,"[""▁##"", ""▁Question"", "":"", ""▁Stat"", ""ement"", ""▁"", ""1"", ""▁|"", ""▁For"", ""▁any"", ""▁two"", ""▁groups"", ""▁G"", ""▁and"", ""▁G"", ""',""]","[""▁Question"", "":"", ""▁Stat"", ""ement"", ""▁"", ""1"", ""▁|"", ""▁For"", ""▁any"", ""▁two"", ""▁groups"", ""▁G"", ""▁and"", ""▁G"", ""',"", ""▁there""]","[444, 894, 29901, 6666, 882, 29871, 29896, 891, 1152, 738, 1023, 6471, 402, 322, 402, 742]","[894, 29901, 6666, 882, 29871, 29896, 891, 1152, 738, 1023, 6471, 402, 322, 402, 742, 727]"
4,mmlu,83,104,103,"[""▁##"", ""▁Question"", "":"", ""▁If"", ""▁the"", ""▁finite"", ""▁group"", ""▁G"", ""▁contains"", ""▁a"", ""▁subgroup"", ""▁of"", ""▁order"", ""▁seven"", ""▁but"", ""▁no""]","[""▁Question"", "":"", ""▁If"", ""▁the"", ""▁finite"", ""▁group"", ""▁G"", ""▁contains"", ""▁a"", ""▁subgroup"", ""▁of"", ""▁order"", ""▁seven"", ""▁but"", ""▁no"", ""▁element""]","[444, 894, 29901, 960, 278, 8093, 2318, 402, 3743, 263, 24410, 310, 1797, 9881, 541, 694]","[894, 29901, 960, 278, 8093, 2318, 402, 3743, 263, 24410, 310, 1797, 9881, 541, 694, 1543]"
5,mmlu,53,102,101,"[""▁##"", ""▁Question"", "":"", ""▁What"", ""▁is"", ""▁the"", ""▁area"", ""▁of"", ""▁an"", ""▁equ"", ""il"", ""ater"", ""al"", ""▁triangle"", ""▁whose"", ""▁ins""]","[""▁Question"", "":"", ""▁What"", ""▁is"", ""▁the"", ""▁area"", ""▁of"", ""▁an"", ""▁equ"", ""il"", ""ater"", ""al"", ""▁triangle"", ""▁whose"", ""▁ins"", ""cribed""]","[444, 894, 29901, 1724, 338, 278, 4038, 310, 385, 1592, 309, 1008, 284, 17205, 5069, 1663]","[894, 29901, 1724, 338, 278, 4038, 310, 385, 1592, 309, 1008, 284, 17205, 5069, 1663, 23059]"
6,mmlu,70,205,204,"[""▁##"", ""▁Question"", "":"", ""▁Water"", ""▁dri"", ""ps"", ""▁out"", ""▁of"", ""▁a"", ""▁hole"", ""▁at"", ""▁the"", ""▁vertex"", ""▁of"", ""▁an"", ""▁ups""]","[""▁Question"", "":"", ""▁Water"", ""▁dri"", ""ps"", ""▁out"", ""▁of"", ""▁a"", ""▁hole"", ""▁at"", ""▁the"", ""▁vertex"", ""▁of"", ""▁an"", ""▁ups"", ""ide""]","[444, 894, 29901, 13062, 10293, 567, 714, 310, 263, 16188, 472, 278, 12688, 310, 385, 24081]","[894, 29901, 13062, 10293, 567, 714, 310, 263, 16188, 472, 278, 12688, 310, 385, 24081, 680]"
7,mmlu,45,129,128,"[""▁##"", ""▁Question"", "":"", ""▁Stat"", ""ement"", ""▁"", ""1"", ""▁|"", ""▁f"", ""▁:"", ""▁X"", ""▁→"", ""▁Y"", ""▁is"", ""▁continuous"", ""▁and""]","[""▁Question"", "":"", ""▁Stat"", ""ement"", ""▁"", ""1"", ""▁|"", ""▁f"", ""▁:"", ""▁X"", ""▁→"", ""▁Y"", ""▁is"", ""▁continuous"", ""▁and"", ""▁X""]","[444, 894, 29901, 6666, 882, 29871, 29896, 891, 285, 584, 1060, 10309, 612, 338, 9126, 322]","[894, 29901, 6666, 882, 29871, 29896, 891, 285, 584, 1060, 10309, 612, 338, 9126, 322, 1060]"
8,mmlu,135,162,161,"[""▁##"", ""▁Question"", "":"", ""▁Tan"", ""▁ah"", ""▁T"", ""iat"", "","", ""▁forty"", ""-"", ""n"", ""ine"", ""▁years"", ""▁old"", "","", ""▁a""]","[""▁Question"", "":"", ""▁Tan"", ""▁ah"", ""▁T"", ""iat"", "","", ""▁forty"", ""-"", ""n"", ""ine"", ""▁years"", ""▁old"", "","", ""▁a"", ""▁native""]","[444, 894, 29901, 15066, 21023, 323, 7163, 29892, 20949, 29899, 29876, 457, 2440, 2030, 29892, 263]","[894, 29901, 15066, 21023, 323, 7163, 29892, 20949, 29899, 29876, 457, 2440, 2030, 29892, 263, 7531]"
9,mmlu,115,114,113,"[""▁##"", ""▁Question"", "":"", ""▁Men"", ""▁are"", ""▁better"", ""▁drivers"", ""▁than"", ""▁women"", ""▁are"", ""."", ""▁The"", ""▁proof"", ""▁of"", ""▁this"", ""▁is""]","[""▁Question"", "":"", ""▁Men"", ""▁are"", ""▁better"", ""▁drivers"", ""▁than"", ""▁women"", ""▁are"", ""."", ""▁The"", ""▁proof"", ""▁of"", ""▁this"", ""▁is"", ""▁that""]","[444, 894, 29901, 7567, 526, 2253, 18563, 1135, 5866, 526, 29889, 450, 5296, 310, 445, 338]","[894, 29901, 7567, 526, 2253, 18563, 1135, 5866, 526, 29889, 450, 5296, 310, 445, 338, 393]"
