question_id,question,gold,n_variants,pass1_majority,pass2_majority,pass1_accuracy,pass2_accuracy,pass1_cal_accuracy,pass2_cal_accuracy,stability_score,transition_entropy,improvement_rate,regression_rate,pass1_logodds_mean,pass2_logodds_mean,pass1_commitment_mean,pass2_commitment_mean,response_drift_mean,delta_logodds_mean,delta_commitment_mean,delta_margin_mean,delta_entropy_mean,basin_class
0,Could boolean algebra be described as binary?,yes,7,no,no,0.2857142857142857,0.0,1.0,0.14285714285714285,0.5714285714285714,0.8631205685637456,0.0,0.2857142857142857,-0.6349688938588296,-3.0775037492414654,0.6642857142857143,0.6857142857142857,0.18471687265192202,-2.442534855382636,0.021428571428571432,-2.442534855433873,-0.13422944944734802,moderately stable basin
1,Would lumberjacks get full after eating three dosa?,no,7,no,no,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428572,1.1488348542765885,0.0,0.14285714285714285,-2.8627079554205035,-3.055801391471177,0.6071428571428571,0.5857142857142857,0.0887939568713343,-0.19309343605067306,-0.021428571428571432,0.19309343610491073,-0.025703672659384797,stable but diverse basin
2,Would a member of the United States Air Force get a discount at Dunkin Donuts?,yes,7,no,yes,0.0,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.4285714285714286,0.9852281360313662,0.5714285714285714,0.0,-1.8988069806592072,-2.790500640788506,0.6785714285714286,0.6857142857142857,0.0860918442931573,-0.8916936601292994,0.00714285714285715,-0.8916936601911273,-0.06358145800213325,uncertain basin
3,"In a hypothetical race between a Swallow and an American Woodcock, would the Swallow win?",yes,7,no,yes,0.0,0.5714285714285714,0.7142857142857143,0.14285714285714285,0.4285714285714286,0.9852281360313662,0.5714285714285714,0.0,-1.9665075029397978,-3.8094068250234088,0.6857142857142857,0.6714285714285715,0.1059306979241869,-1.8428993220836105,-0.014285714285714282,-1.8428993225097656,-0.12575768524741954,uncertain basin
4,Were number of states in Ancient Greece underwhelming compared to US states in 1900?,no,7,no,no,1.0,1.0,0.42857142857142855,0.7142857142857143,1.0,-1.4428232973175175e-12,0.0,0.0,-1.7679328918196977,-3.5200249805248918,0.6857142857142857,0.7142857142857143,0.3574890064549924,-1.752092088705194,0.02857142857142858,1.7520920889718192,-0.21925124428138232,stable correct basin
5,Can petroleum jelly be used as fuel in a car?,no,7,no,no,1.0,0.5714285714285714,1.0,0.8571428571428571,0.5714285714285714,0.9852281360313662,0.0,0.42857142857142855,-3.4777308855772437,-3.8792021612126315,0.65,0.6285714285714287,0.08958354048795258,-0.4014712756353882,-0.021428571428571432,0.4014712742396763,-0.07970614273894851,moderately stable basin
6,Did Julia Roberts practice blast beats as a child?,no,7,no,no,1.0,0.5714285714285714,1.0,0.5714285714285714,0.5714285714285714,0.9852281360313662,0.0,0.42857142857142855,-3.6741327556119012,-3.579754965434524,0.6428571428571429,0.65,0.28493786474677046,0.09437779017737737,0.007142857142857133,-0.09437779017857142,0.013249610933986031,moderately stable basin
7,Is myocardial infarction a brain problem?,no,7,no,no,1.0,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428572,0.591672778579442,0.0,0.14285714285714285,-3.420801433837583,-3.5922829762127373,0.6714285714285715,0.692857142857143,0.15022148167442367,-0.17148154237515417,0.021428571428571432,0.1714815412248884,-0.08777502435206941,stable correct basin
8,Would a hedgehog avoid animals without a spinal cord?,no,7,no,no,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.5714285714285714,1.3787834934818475,0.14285714285714285,0.2857142857142857,-1.9903101239609353,-4.049001420934617,0.6142857142857142,0.6357142857142858,0.09591761268484357,-2.058691296973681,0.021428571428571432,2.0586912972586497,-0.27131257357685257,moderately stable basin
9,Can The Hobbit be read in its entirety in four minutes?,yes,7,no,no,0.0,0.0,0.14285714285714285,0.2857142857142857,0.7142857142857143,-1.4428232973175175e-12,0.0,0.0,-2.6607404435863904,-3.1012213569965814,0.6714285714285715,0.6857142857142857,0.24927726245830997,-0.4404809134101914,0.014285714285714282,-0.4404809134347098,-0.07737388466731007,moderately stable basin
10,Could Plato have agreed with the beliefs of Jainism?,yes,7,no,no,0.14285714285714285,0.0,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.591672778579442,0.0,0.14285714285714285,-1.7319820948761893,-3.191499982470475,0.6214285714285713,0.6928571428571428,0.3404609695990219,-1.4595178875942858,0.07142857142857144,-1.4595178876604353,-0.20668154067565794,moderately stable basin
11,Can Michael Bloomberg fund the debt of Micronesia for a decade?,yes,7,no,no,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.9852281360313662,0.42857142857142855,0.0,-2.701293400298734,-3.597482953601928,0.6714285714285715,0.6785714285714286,0.14170442631049332,-0.8961895533031942,0.00714285714285715,-0.8961895533970424,-0.11768920574438366,moderately stable basin
12,Is Benjamin Franklin a prime candidate to have his statues removed by Black Lives Matter movement?,yes,7,no,no,0.0,0.0,0.14285714285714285,0.42857142857142855,1.0,-1.4428232973175175e-12,0.0,0.0,-2.9952550614105005,-3.4851733615040708,0.65,0.6357142857142858,0.3158025852475589,-0.48991830009357035,-0.014285714285714282,-0.48991830008370535,-0.0693949777797763,stable correct basin
13,Are sables related to wolverines?,yes,7,no,yes,0.0,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.4285714285714286,0.9852281360313662,0.5714285714285714,0.0,-2.466788700588705,-3.079165867306272,0.6285714285714287,0.7071428571428572,0.18085405241480104,-0.6123771667175671,0.07857142857142858,-0.6123771667480469,-0.08916921301408547,uncertain basin
14,Does Jerry Seinfeld hang out at the Budweiser Party Deck?,no,7,no,no,1.0,1.0,1.0,0.8571428571428571,1.0,-1.4428232973175175e-12,0.0,0.0,-2.822260720339301,-3.194234030440345,0.692857142857143,0.692857142857143,0.10720552684622713,-0.37197331010104434,0.0,0.3719733101981027,0.023584788745559495,stable correct basin
15,Do you often hear Marco Polo's name shouted near water?,yes,7,no,no,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714,1.3787834934818475,0.2857142857142857,0.14285714285714285,-2.698313031813945,-2.922804696157602,0.6571428571428573,0.6571428571428573,0.11878029233615385,-0.22449166434365647,0.0,-0.22449166434151785,-0.07983435104482761,moderately stable basin
16,Can you hunt Iberian wolves in the Southern United States?,no,7,no,no,0.8571428571428571,0.5714285714285714,1.0,1.0,0.7142857142857143,1.3787834934818475,0.0,0.2857142857142857,-3.6574908663386254,-5.014755793291238,0.6714285714285715,0.6785714285714286,0.21753461022479983,-1.357264926952612,0.00714285714285715,1.3572649274553572,-0.1993116158025045,moderately stable basin
17,Can a New Yorker get their eyes checked by Rand Paul legally?,no,7,no,no,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,0.8571428571428572,0.591672778579442,0.14285714285714285,0.0,-2.1756248473800825,-4.171867370147313,0.65,0.65,0.3126520871826584,-1.9962425227672291,0.0,1.9962425231933594,-0.272910745190473,stable correct basin
18,Did the Nepalese Civil War take place near India?,yes,7,yes,no,1.0,0.2857142857142857,0.42857142857142855,0.0,0.2857142857142857,0.8631205685637456,0.0,0.7142857142857143,-1.665202549483266,-3.111125945943514,0.6571428571428571,0.6571428571428573,0.3055678056537045,-1.4459233964602485,0.0,-1.4459233965192522,-0.09192942065104055,uncertain basin
19,Will Chuck Norris be a nonagenarian by time next leap year after 2020 happens?,no,7,no,no,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.8571428571428571,0.7142857142857143,1.5566567074584952,0.0,0.2857142857142857,-2.5417970929005094,-3.782181330366924,0.6714285714285714,0.6857142857142857,0.2628015054500344,-1.2403842374664147,0.014285714285714282,1.240384238106864,-0.12775485473104062,moderately stable basin
20,Would Snowdon mountain be a piece of cake for Tenzing Norgay?,yes,7,no,no,0.0,0.0,0.14285714285714285,0.0,0.8571428571428572,-1.4428232973175175e-12,0.0,0.0,-2.543700081913427,-3.534057617029941,0.6357142857142858,0.6714285714285715,0.16015941098705047,-0.9903575351165143,0.03571428571428571,-0.9903575352260044,-0.13213114307592894,stable correct basin
21,Is the letter D influenced by the shape of ancient doors?,yes,7,no,no,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.8571428571428572,0.591672778579442,0.0,0.14285714285714285,-2.483547210655361,-4.41652951885616,0.6285714285714287,0.6142857142857142,0.17683846444412385,-1.9329823082007997,-0.014285714285714282,-1.9329823085239954,-0.25199075948361654,stable correct basin
22,Did John Lennon listen to Compact discs?,no,7,no,no,1.0,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.8571428571428572,0.591672778579442,0.0,0.14285714285714285,-2.03520475113454,-3.044744219034587,0.6857142857142857,0.6857142857142857,0.29358071661092383,-1.0095394679000467,0.0,1.0095394679478236,-0.1240864801648706,stable correct basin
