question,ground_truth,prediction,correct,avg_length,format_rate
Was ship that recovered Apollo 13 named after a World War II battle?,yes,yes,True,97.0,0.0
Is the tibia necessary to win the Stanley Cup?,yes,,False,108.0,0.0
Could the Powepuff Girls make the background to the Azerbaijani flag?,yes,,False,83.0,0.0
Are eagles and young bears both used as labels for skills-training youth groups?,yes,yes,True,104.0,0.0
Would an Olympic athlete be tired out after running a mile?,no,,False,103.0,0.0
Would a goblin shark eat at Crossroads Kitchen?,no,,False,86.0,0.0
Was  Godfrey of Bouillon an Islamaphobe?,yes,no,False,92.0,0.0
Did Helen Keller ever read a novel by J. K. Rowling?,no,no,True,92.0,0.0
Is Guitar Hero Beatles inappropriate for a US third grader?,no,no,True,107.0,0.0
Is CAS number 8009-03-8 harmful for a rash?,no,no,True,83.0,0.0
Is the Asian black bear multicolored?,yes,no,False,97.0,0.0
Could Tom Cruise explain mental auditing?,yes,no,False,97.0,0.0
Is it unusual to play Happy hardcore music at a funeral?,yes,no,False,105.0,0.0
Could every citizen of Samoa send a letter to a unique JPMorgan Chase employee?,yes,,False,90.0,0.0
Would Michael J Fox qualify for the Army Rangers?,no,,False,93.0,0.0
Will a Holstein cow and the Liberty Bell balance out a giant scale?,no,,False,93.0,0.0
Do hyenas appear in a Broadway musical?,yes,,False,108.0,0.0
Are most mall Santa Claus actors white?,yes,,False,105.0,0.0
Does Princess Peach's dress resemble a peach fruit?,no,,False,91.0,0.0
Do people with mood disorders need permanent institutionalization?,no,,False,92.0,0.0
Could Stephen King join the NASA Astronaut Corps?,no,no,True,100.0,0.0
Would Avengers Comics be out of place in a DC Comics store?,yes,,False,111.0,0.0
"Was the MLB World Series held in Newcastle, New South Wales?",no,,False,104.0,0.0
Would someone pay for a coffee in NYC with Euros?,no,,False,103.0,0.0
Do some home remedies result in your skin color turning blue?,yes,no,False,112.0,0.0
Were Greeks essential to crafting Egyptian Lighthouse of Alexandria?,yes,no,False,97.0,0.0
Do all cancer patients get disability?,no,no,True,101.0,0.0
Did Naruto escape the Temple of Doom?,no,,False,92.0,0.0
Is lunch on the beach a good activity to spot the full circle of a rainbow?,no,no,True,116.0,0.0
Is a fairy more prevalent in world myths than a valkyrie?,yes,,False,98.0,0.0
Would a caracal be defeated by Javier Sotomayor in a high jump competition?,no,no,True,106.0,0.0
Is a curling iron necessary in curling?,no,,False,107.0,0.0
Did King James I despise fairy beings?,yes,no,False,91.0,0.0
Do Elementary School students typically need graphing calculators?,no,,False,97.0,0.0
Do most high school head coaches make as much as the Head Coach at NCSU?,no,no,True,113.0,0.0
Is Michael an unpopular name in the United States?,no,,False,109.0,0.0
Did Rosalind Franklin contribute to work that led to Whole Genome Sequencing?,yes,no,False,92.0,0.0
Is MIX a word and a roman numeral?,yes,,False,96.0,0.0
"If your electric stove has a glass top, should you use cast iron skillets?",no,no,True,105.0,0.0
Could Carl Friedrich Gauss speak to someone 100 miles away?,no,no,True,90.0,0.0
Would Ringo Starr avoid the pot roast at a restaurant?,yes,no,False,99.0,0.0
Does Iphone have more iterations than Samsung Galaxy?,no,no,True,86.0,0.0
Does Jason have anything in common with Dr. Disrespect?,yes,no,False,97.0,0.0
Would you hire someone with dyscalculia to do surveying work?,no,,False,96.0,0.0
Is it more expensive to run for President of India than to buy a new iPhone 11?,no,,False,117.0,0.0
Can Arnold Schwarzenegger deadlift an adult Black rhinoceros?,no,no,True,73.0,0.0
Did any citizen of San Antonio vote for Boris Johnson?,no,no,True,110.0,0.0
Was Jackson Pollock trained by Leonardo da Vinci?,no,no,True,93.0,0.0
Was Kurt Cobain's death indirectly caused by Daniel LeFever?,yes,,False,96.0,0.0
Could the moon fit inside the Black Sea?,no,,False,88.0,0.0
