question_id,variant,strength,gold,question,pass1_correct,pass2_correct,pass1_cal_correct,pass2_cal_correct,pass1_logodds,pass2_logodds,pass1_commitment,pass2_commitment,delta_logodds,delta_commitment,delta_margin,response_drift,transition_entropy,improvement_rate,regression_rate,prediction_change_rate,text_change_rate,transition_majority
0,anchored,0.15,yes,Could boolean algebra be described as binary?,1.0,0.0,1.0,0.0,1.4104881286582553,-1.2964134216274765,0.65,0.65,-2.706901550285732,0.0,-2.7069015502929688,0.08391608391608396,-1.4428232973175175e-12,0.0,1.0,1.0,1.0,correct→wrong
0,anchored_reason,0.35,yes,Could boolean algebra be described as binary?,0.0,0.0,1.0,0.0,1.1232986450167812,-1.766113281244323,0.65,0.65,-2.889411926261104,0.0,-2.8894119262695312,0.06369426751592355,-1.4428232973175175e-12,0.0,0.0,0.0,1.0,wrong→wrong
0,anchored_selfcheck,0.75,yes,Could boolean algebra be described as binary?,0.0,0.0,1.0,1.0,-3.488372802701673,-4.578041076562843,0.65,0.65,-1.0896682738611698,0.0,-1.0896682739257812,0.019607843137254943,-1.4428232973175175e-12,0.0,0.0,0.0,1.0,wrong→wrong
0,anchored_xml,0.55,yes,Could boolean algebra be described as binary?,0.0,0.0,1.0,0.0,-3.0890007018823873,-4.620578765767598,0.65,0.65,-1.5315780638852106,0.0,-1.5315780639648438,0.1987951807228916,-1.4428232973175175e-12,0.0,0.0,0.0,1.0,wrong→wrong
0,answer_first,0.45,yes,Could boolean algebra be described as binary?,0.0,0.0,1.0,0.0,1.3281555175746158,-2.2376136779692515,0.5,0.75,-3.5657691955438673,0.25,-3.5657691955566406,0.49606299212598426,-1.4428232973175175e-12,0.0,0.0,1.0,1.0,wrong→wrong
0,plain,0.0,yes,Could boolean algebra be described as binary?,1.0,0.0,1.0,0.0,1.627651214594714,-1.7240600585883212,0.75,0.65,-3.351711273183035,-0.09999999999999998,-3.3517112731933594,0.2171052631578947,-1.4428232973175175e-12,0.0,1.0,1.0,1.0,correct→wrong
0,verbose,1.0,yes,Could boolean algebra be described as binary?,0.0,0.0,1.0,0.0,-3.357002258272113,-5.319705962930446,0.8,0.8,-1.9627037046583333,0.0,-1.9627037048339844,0.21383647798742134,-1.4428232973175175e-12,0.0,0.0,0.0,1.0,wrong→wrong
1,anchored,0.15,no,Would lumberjacks get full after eating three dosa?,1.0,1.0,1.0,1.0,-0.09569549560527715,-1.4860343933063533,0.65,0.65,-1.3903388977010762,0.0,1.3903388977050781,0.0,-1.4428232973175175e-12,0.0,0.0,0.0,0.0,correct→correct
1,anchored_reason,0.35,no,Would lumberjacks get full after eating three dosa?,1.0,1.0,1.0,0.0,-0.8875198364237639,-0.5016937255848916,0.55,0.55,0.3858261108388723,0.0,-0.38582611083984375,0.006172839506172867,-1.4428232973175175e-12,0.0,0.0,0.0,1.0,correct→correct
1,anchored_selfcheck,0.75,no,Would lumberjacks get full after eating three dosa?,1.0,1.0,1.0,1.0,-5.2060890195930165,-4.972358703468921,0.55,0.55,0.23373031612409534,0.0,-0.23373031616210938,0.02180685358255452,-1.4428232973175175e-12,0.0,0.0,0.0,1.0,correct→correct
