split,question_id,variant,strength,note,question,gold,pass1_prompt,pass1_full_output,pass1_completion,pass1_prediction,pass1_correct,pass1_calibrated_prediction,pass1_calibrated_correct,pass1_logodds,pass1_confidence,pass1_commitment,pass2_prompt,pass2_full_output,pass2_completion,pass2_prediction,pass2_correct,pass2_calibrated_prediction,pass2_calibrated_correct,pass2_logodds,pass2_confidence,pass2_commitment,improved,regressed,unchanged,transition,cal_transition,pass1_vs_pass2_prediction_changed,pass1_vs_pass2_text_changed,pass1_stability_score,pass2_stability_score,transition_entropy,cal_transition_entropy,pass1_majority_accuracy,pass2_majority_accuracy,pass1_majority_prediction,pass2_majority_prediction,pass1_logodds_mean_question,pass2_logodds_mean_question,n_variants,pass1_accuracy,pass2_accuracy,pass1_logodds_mean,pass2_logodds_mean,pass1_logodds_std,pass2_logodds_std,pass1_commitment_mean,pass2_commitment_mean,pass1_commitment_std,pass2_commitment_std,improvement_rate,regression_rate,prediction_change_rate,text_change_rate,pass1_raw_correct_rate,pass2_raw_correct_rate,pass1_cal_correct_rate,pass2_cal_correct_rate,is_question_summary
test,0,,,,Could boolean algebra be described as binary?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5714285714285714,1.0,0.5982695885832573,0.41011631828640904,0.3333333333333333,0.0,no,no,,,7.0,0.2857142857142857,0.0,-0.6349688938588296,-2.581268310511896,2.510722273169698,1.6158792720068367,0.6642857142857143,0.6857142857142857,0.09449111825230681,0.06267831705280089,0.0,0.2857142857142857,0.42857142857142855,1.0,0.2857142857142857,0.0,1.0,0.14285714285714285,True
test,1,,,,Would lumberjacks get full after eating three dosa?,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8571428571428571,0.7142857142857143,0.796311640170813,1.0042424730510766,1.0,1.0,no,no,,,7.0,0.8571428571428571,0.7142857142857143,-2.8627079554205035,-2.641834258953632,2.3679989503997136,1.75687338319143,0.6071428571428571,0.6214285714285716,0.09322272357358044,0.1439245834257849,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.5714285714285714,True
test,2,,,,Would a member of the United States Air Force get a discount at Dunkin Donuts?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5714285714285714,0.6829081046984717,0.9556998911095343,0.0,0.5714285714285714,no,yes,,,7.0,0.0,0.5714285714285714,-1.8988069806592072,-2.185201372398239,1.8972134016722992,1.5200054857397185,0.6785714285714286,0.6642857142857143,0.09063269671749657,0.10293317295817755,0.5714285714285714,0.0,0.5714285714285714,0.7142857142857143,0.0,0.5714285714285714,0.7142857142857143,0.42857142857142855,True
test,3,,,,"In a hypothetical race between a Swallow and an American Woodcock, would the Swallow win?",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8571428571428571,0.7142857142857143,0.41011631828640904,0.9556998911095345,0.0,0.16666666666666666,no,no,,,7.0,0.0,0.14285714285714285,-1.9665075029397978,-3.6783436361938335,2.2441804897961304,2.8960493894995167,0.6857142857142857,0.6714285714285715,0.10690449676496977,0.10350983390135315,0.14285714285714285,0.0,0.14285714285714285,1.0,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,True
test,4,,,,Were number of states in Ancient Greece underwhelming compared to US states in 1900?,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.8571428571428571,0.41011631828640904,0.9556998911095345,1.0,1.0,no,no,,,7.0,1.0,0.8571428571428571,-1.7679328918196977,-3.109941754913894,2.2173547768105797,2.0285315462294147,0.6857142857142857,0.6928571428571428,0.06267831705280087,0.11338934190276818,0.0,0.14285714285714285,0.14285714285714285,1.0,1.0,0.8571428571428571,0.42857142857142855,0.8571428571428571,True
test,5,,,,Can petroleum jelly be used as fuel in a car?,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5714285714285714,0.6829081046984717,-1.000088900581841e-12,1.0,0.6666666666666666,no,no,,,7.0,1.0,0.5714285714285714,-3.4777308855772437,-3.3754381450936357,3.3530036607283145,2.3123581115682583,0.65,0.6285714285714287,0.0,0.056694670951384085,0.0,0.42857142857142855,0.42857142857142855,0.8571428571428571,1.0,0.5714285714285714,1.0,1.0,True
test,6,,,,Did Julia Roberts practice blast beats as a child?,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5714285714285714,0.6829081046984717,0.41011631828640904,1.0,0.6666666666666666,no,no,,,7.0,1.0,0.5714285714285714,-3.6741327556119012,-3.4565576824576163,2.5588049227787324,1.9611629066290124,0.6428571428571429,0.6857142857142857,0.10177004891982147,0.10690449676496977,0.0,0.42857142857142855,0.42857142857142855,1.0,1.0,0.5714285714285714,1.0,0.8571428571428571,True
test,7,,,,Is myocardial infarction a brain problem?,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.7142857142857143,0.5982695885832573,0.41011631828640904,1.0,0.8333333333333334,no,no,,,7.0,1.0,0.7142857142857143,-3.420801433837583,-2.9892698014804138,2.953425116939235,1.8710011841718461,0.6714285714285715,0.6714285714285715,0.05669467095138409,0.10350983390135315,0.0,0.2857142857142857,0.2857142857142857,0.8571428571428571,1.0,0.7142857142857143,1.0,0.8571428571428571,True
test,8,,,,Would a hedgehog avoid animals without a spinal cord?,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8571428571428571,0.8571428571428571,0.796311640170813,0.5982695885832573,1.0,1.0,no,no,,,7.0,0.8571428571428571,0.8571428571428571,-1.9903101239609353,-3.7532076153122413,2.0649851767662644,1.7908903154745226,0.6142857142857142,0.6571428571428571,0.06267831705280089,0.1336306209562122,0.14285714285714285,0.14285714285714285,0.2857142857142857,1.0,0.8571428571428571,0.8571428571428571,0.7142857142857143,1.0,True
test,9,,,,Can The Hobbit be read in its entirety in four minutes?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8571428571428571,0.8571428571428571,-1.000088900581841e-12,0.41011631828640904,0.0,0.0,no,no,,,7.0,0.0,0.0,-2.6607404435863904,-3.07556206835261,2.2862661678736234,1.4524945337600912,0.6714285714285715,0.6857142857142857,0.13801311186847087,0.10690449676496977,0.0,0.0,0.2857142857142857,1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,True
test,10,,,,Could Plato have agreed with the beliefs of Jainism?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5714285714285714,0.8571428571428571,0.41011631828640904,0.9556998911095345,0.2,0.0,no,no,,,7.0,0.14285714285714285,0.0,-1.7319820948761893,-2.7912450517529095,2.210648095137327,1.7115714827780193,0.6214285714285713,0.6714285714285715,0.05669467095138409,0.10350983390135315,0.0,0.14285714285714285,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.0,0.42857142857142855,0.2857142857142857,True
test,11,,,,Can Michael Bloomberg fund the debt of Micronesia for a decade?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5714285714285714,0.5982695885832573,0.9556998911095345,0.0,0.3333333333333333,no,no,,,7.0,0.0,0.2857142857142857,-2.701293400298734,-2.9545500618413967,2.3896041339372363,1.927006846186628,0.6714285714285715,0.6571428571428573,0.05669467095138409,0.1336306209562122,0.2857142857142857,0.0,0.42857142857142855,0.8571428571428571,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,True
