question_id,question,gold,pass1_accuracy,pass2_accuracy,pass1_cal_accuracy,pass2_cal_accuracy,stability_score,pass2_stability_score,transition_entropy,cal_transition_entropy,improvement_rate,regression_rate,pass1_logodds_mean,pass2_logodds_mean,pass1_logodds_std,pass2_logodds_std,pass1_commitment_mean,pass2_commitment_mean,pass1_commitment_std,pass2_commitment_std,prompt_count,task,stability_class
0,Could boolean algebra be described as binary?,yes,0.2857142857142857,0.0,1.0,0.14285714285714285,0.5714285714285714,1.0,0.5982695885832573,0.41011631828640904,0.0,0.2857142857142857,-0.6349688938588296,-2.581268310511896,2.510722273169698,1.6158792720068367,0.6642857142857144,0.6857142857142857,0.0944911182523068,0.06267831705280084,7,strategyqa,moderately stable
1,Would lumberjacks get full after eating three dosa?,no,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.7963116401708129,1.0042424730510766,0.0,0.14285714285714285,-2.8627079554205035,-2.641834258953632,2.367998950399714,1.75687338319143,0.6071428571428571,0.6214285714285716,0.09322272357358043,0.1439245834257849,7,strategyqa,stable
2,Would a member of the United States Air Force get a discount at Dunkin Donuts?,yes,0.0,0.5714285714285714,0.7142857142857143,0.42857142857142855,1.0,0.5714285714285714,0.6829081046984717,0.9556998911095343,0.5714285714285714,0.0,-1.898806980659207,-2.185201372398239,1.8972134016722992,1.5200054857397185,0.6785714285714286,0.6642857142857144,0.09063269671749657,0.10293317295817755,7,strategyqa,stable
3,"In a hypothetical race between a Swallow and an American Woodcock, would the Swallow win?",yes,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.41011631828640904,0.9556998911095345,0.14285714285714285,0.0,-1.966507502939798,-3.678343636193833,2.24418048979613,2.8960493894995167,0.6857142857142857,0.6714285714285715,0.10690449676496977,0.10350983390135315,7,strategyqa,stable
4,Were number of states in Ancient Greece underwhelming compared to US states in 1900?,no,1.0,0.8571428571428571,0.42857142857142855,0.8571428571428571,1.0,0.8571428571428571,0.41011631828640904,0.9556998911095345,0.0,0.14285714285714285,-1.7679328918196977,-3.109941754913894,2.2173547768105792,2.0285315462294147,0.6857142857142857,0.692857142857143,0.06267831705280084,0.11338934190276818,7,strategyqa,stable
5,Can petroleum jelly be used as fuel in a car?,no,1.0,0.5714285714285714,1.0,1.0,1.0,0.5714285714285714,0.6829081046984717,-1.000088900581841e-12,0.0,0.42857142857142855,-3.4777308855772437,-3.375438145093636,3.3530036607283145,2.3123581115682583,0.65,0.6285714285714287,0.0,0.05669467095138409,7,strategyqa,stable
6,Did Julia Roberts practice blast beats as a child?,no,1.0,0.5714285714285714,1.0,0.8571428571428571,1.0,0.5714285714285714,0.6829081046984717,0.41011631828640904,0.0,0.42857142857142855,-3.6741327556119012,-3.4565576824576163,2.558804922778733,1.9611629066290124,0.6428571428571429,0.6857142857142857,0.10177004891982147,0.10690449676496977,7,strategyqa,stable
7,Is myocardial infarction a brain problem?,no,1.0,0.7142857142857143,1.0,0.8571428571428571,1.0,0.7142857142857143,0.5982695885832573,0.41011631828640904,0.0,0.2857142857142857,-3.420801433837583,-2.9892698014804138,2.953425116939235,1.8710011841718464,0.6714285714285715,0.6714285714285715,0.056694670951384085,0.10350983390135315,7,strategyqa,stable
8,Would a hedgehog avoid animals without a spinal cord?,no,0.8571428571428571,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571,0.7963116401708129,0.5982695885832573,0.14285714285714285,0.14285714285714285,-1.9903101239609353,-3.7532076153122413,2.0649851767662644,1.7908903154745224,0.6142857142857142,0.6571428571428573,0.0626783170528009,0.1336306209562122,7,strategyqa,stable
9,Can The Hobbit be read in its entirety in four minutes?,yes,0.0,0.0,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.8571428571428571,-1.000088900581841e-12,0.41011631828640904,0.0,0.0,-2.66074044358639,-3.0755620683526104,2.286266167873624,1.4524945337600912,0.6714285714285715,0.6857142857142857,0.13801311186847087,0.10690449676496977,7,strategyqa,stable
10,Could Plato have agreed with the beliefs of Jainism?,yes,0.14285714285714285,0.0,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.41011631828640904,0.9556998911095345,0.0,0.14285714285714285,-1.7319820948761893,-2.7912450517529095,2.210648095137327,1.711571482778019,0.6214285714285713,0.6714285714285715,0.0566946709513841,0.10350983390135315,7,strategyqa,moderately stable
11,Can Michael Bloomberg fund the debt of Micronesia for a decade?,yes,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,1.0,0.5714285714285714,0.5982695885832573,0.9556998911095345,0.2857142857142857,0.0,-2.701293400298734,-2.9545500618413962,2.3896041339372363,1.9270068461866283,0.6714285714285715,0.6571428571428573,0.056694670951384085,0.1336306209562122,7,strategyqa,stable
12,Is Benjamin Franklin a prime candidate to have his statues removed by Black Lives Matter movement?,yes,0.0,0.0,0.14285714285714285,0.14285714285714285,1.0,1.0,-1.000088900581841e-12,0.7963116401708129,0.0,0.0,-2.9952550614105005,-2.6157858712006195,2.708283361958892,1.695228116118529,0.65,0.6357142857142858,0.0,0.037796447300922714,7,strategyqa,stable
13,Are sables related to wolverines?,yes,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.6829081046984717,1.0789922078745833,0.42857142857142855,0.0,-2.466788700588705,-2.4244526454092434,2.395851279433659,1.6611072050722462,0.6285714285714287,0.6714285714285715,0.05669467095138409,0.10350983390135315,7,strategyqa,stable
14,Does Jerry Seinfeld hang out at the Budweiser Party Deck?,no,1.0,0.7142857142857143,1.0,1.0,1.0,0.7142857142857143,0.5982695885832573,-1.000088900581841e-12,0.0,0.2857142857142857,-2.822260720339301,-3.11622728614671,2.0856828952666664,1.6208258972925367,0.692857142857143,0.692857142857143,0.07319250547113998,0.07319250547113998,7,strategyqa,stable
15,Do you often hear Marco Polo's name shouted near water?,yes,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.9556998911095345,1.0789922078745835,0.2857142857142857,0.14285714285714285,-2.6983130318139454,-2.5260129655832224,2.52987167156786,1.2157178292117217,0.6571428571428573,0.6571428571428573,0.1336306209562122,0.1336306209562122,7,strategyqa,stable
16,Can you hunt Iberian wolves in the Southern United States?,no,0.8571428571428571,0.5714285714285714,1.0,1.0,0.8571428571428571,0.5714285714285714,0.9556998911095345,-1.000088900581841e-12,0.0,0.2857142857142857,-3.6574908663386254,-4.458388191812939,2.5705709701940913,2.4547036042742962,0.6714285714285715,0.6785714285714286,0.056694670951384085,0.1439245834257849,7,strategyqa,stable
17,Can a New Yorker get their eyes checked by Rand Paul legally?,no,0.8571428571428571,1.0,0.7142857142857143,1.0,0.8571428571428571,1.0,0.41011631828640904,0.5982695885832573,0.14285714285714285,0.0,-2.1756248473800825,-3.7630141120086598,2.0779110028483685,2.045258514684781,0.65,0.692857142857143,0.0,0.07319250547113998,7,strategyqa,stable
